idavis;idsociete;titreAvis;descriptionAvis;avantageAvis;inconvenientAvis;noteMoyenneAvis
1167;215;« Je recommande »;Je travaille chez Keyrus Group à temps plein;AvantagesCadre, équipes, montée en compétence;InconvénientsSalaire légèrement en dessous du marché;4.0
1168;215;"« Souhaitez vous une relation ""SM"" avec votre employeur ? »";J'ai travaillé chez Keyrus Group à temps plein plus de 3 ans;AvantagesPour les confirmés un salaire attrayant, une image extérieure waaaaaaw!;"InconvénientsA l'intérieur, un vrai panier de crabes.
Des commerciaux virés du jour au lendemain sans vraiment comprendre pourquoi.
Aucune stratégie long terme.
Des consultants isolés, en intercontras depuis des mois.
De fausses valeurs, de vrais problèmes en internes entre les BU/Offres.
Le commerce est considéré pour le responsable de tout  les maux sans raison réelle.
Je déconseille très fortement, sauf si vous avez...envie d'une relation ""SM"" avec votre employeur...Dérouler";4.0
1169;216;« thats ok »;Je travaille chez Yongzhi Plastic Electronics (Shenzhen) Co. à;Avantagesmobilité du job surtout le soir;Inconvénientstrop de travail et partage de données;3.0
1170;57;« Horrible »;Je travaille chez Thales à temps plein depuis plus d'un an;;;4.1
1171;57;« Stable et confortable »;Je travaille chez Thales à temps plein depuis plus de 8 ans;;;4.1
1172;57;« recrutement »;J'ai travaillé chez Thales à temps plein plus d'un an;;;4.1
1173;57;« Non »;J'ai travaillé chez Thales à temps plein plus de 5 ans;;;4.1
1174;57;« Super entreprise »;J'ai travaillé chez Thales à temps plein moins d'un an;;;4.1
1175;57;« Bonne société »;Je travaille chez Thales à temps plein depuis plus de 3 ans;;;4.1
1176;57;« Bonne entreprise »;Je travaille chez Thales à temps plein depuis plus de 3 ans;;;4.1
1177;57;« Entreprise globalement agréable »;Je travaille chez Thales à temps plein depuis plus d'un an;;;4.1
1178;57;« Bonne entreprise »;Je travaille chez Thales à temps plein depuis plus d'un an;;;4.1
1179;57;« Excellent milieu pour un apprentissage »;J'ai travaillé chez Thales à temps plein plus d'un an;;;4.1
1180;57;« Bonne entreprise »;Je travaille chez Thales à temps plein depuis moins d'un an;;;4.1
1181;57;« Très bonnes conditions de travail »;J'ai travaillé chez Thales à temps plein moins d'un an;;;4.1
1182;57;« Une grosse entreprise stable mais pas souple »;Je travaille chez Thales à temps plein depuis plus de 10 ans;;;4.1
1183;57;« Ingénieur Devops »;Je travaille chez Thales à temps plein depuis plus de 3 ans;;;4.1
1184;57;« Mitigé »;J'ai travaillé chez Thales à temps plein plus de 10 ans;;;4.1
1185;57;« Bonne entreprises »;Je travaille chez Thales à temps plein depuis plus d'un an;;;4.1
1186;57;« Projets passionants, petits salaires, bonne ambiance »;Je travaille chez Thales à temps plein depuis plus d'un an;;;4.1
1187;57;« Thales Services Vélizy »;J'ai travaillé chez Thales à temps plein plus d'un an;;;4.1
1188;57;« Très agréable »;J'ai travaillé chez Thales à temps plein plus de 3 ans;;;4.1
1189;57;« Problème de gouvernance »;Je travaille chez Thales à temps plein depuis plus d'un an;;;4.1
1190;219;« Formateur »;Je travaille chez Thales-Raytheon Systems à temps plein depuis plus d'un an;AvantagesAmbiance multi-culturelle, responsabilités, CE, rencontre clients;InconvénientsAmbiance générale, complexité du programme, évolution et proposition lié à l'aspect politique;3.0
1191;220;« Stage Cybersécurité »;J'ai travaillé chez L&T Thales Technology Services à;"AvantagesBien accueilli
Travail intéressant
Bonne entente au sein de l'équipe";InconvénientsRien à redire sur les conditions de travail;3.5
1192;223;« Entreprise parfaite pour monter en compétences »;Je travaille chez JEMS Group à temps plein;"Avantages- Propositions de formation
- Liberté d'étre force de proposition et bonne communication";InconvénientsAucun à noter pour le moment;4.3
1193;223;« Leader Big Data et Cloud dans l'agilité et la bonne humeur ! »;Je travaille chez JEMS Group à temps plein depuis plus de 3 ans;"AvantagesEn poste depuis 3 ans, Jems m'a offert plusieurs opportunités de carrière selon un plan annoncé et cohérent dans ma carrière. J'ai pu contribué dans des missions intéressantes et variées pour lesquelles on m'a donné de réelles responsabilités. Le niveau d'excellence des clients grands compte et des missions est vraiment  au top. La rémunération est en phase avec le marché ;-).";InconvénientsNécessité d'être souvent en formation pour se tenir à la pointe mais nous sommes accompagnés et même rétribués dans nos démarches. Le management n'est pas forcément génial en matière de communication mais sa vision est toujours éclairée quand on y a accès.;4.3
1194;223;« consultant toujours en mission »;Je travaille chez JEMS Group à temps plein depuis plus d'un an;AvantagesUne société à taille humaine;InconvénientsJe ne vois pas pour le moment;4.3
1195;223;« Bonne ambiance, dynamisme, opportunités »;Je travaille chez JEMS Group à temps plein depuis plus de 10 ans;"AvantagesEntreprise à taille humaine avec un management très à l’écoute et accessible, qui se soucie réellement de l’évolution de carrière des consultants.
Très bonne dynamique. Beaucoup d’opportunités surtout dans le domaine du Big Data, accompagnées des formations si besoin. 
Bonne ambiance basée sur une relation de confiance qui s’installe dans la durée.";InconvénientsLe CE n’offre pas tous les avantages que peut offrir une grosse entreprise mais reste correct.;4.3
1196;223;« Moyen »;Je travaille chez JEMS Group à temps plein;AvantagesBeaucoup de projets big data;InconvénientsCroissance pas organisée. Trop de recrutements non qualitatifs;4.3
1197;223;« Consultant Finance »;Je travaille chez JEMS Group à temps plein depuis plus d'un an;AvantagesManagement très à l'écoute, disponible et réactif avec un vrai suivi d'accompagnement avant et pendant la mission. Propose de véritables formations + montée en compétences. Relation de confiance. Ambiance irréprochable toujours dans la bienveillance.;InconvénientsCE pourrait être un peu plus visible;4.3
1198;223;« Consultant en finance de marché »;Je travaille chez JEMS Group à temps plein depuis moins d'un an;"AvantagesEnfin une boite de conseil à l’écoute de ses consultants ! 
Jems m’aide grandement dans ma carrière par sa présence sur le secteur de la finance. C’est un réel accélérateur de carrière de par la qualité de leurs missions.

Si vous pensez que JEMS est une boite de conseil qui ne s’occupe pas de ses consultants en inter-contrat, voici ce que j’ai pu faire en ne serait ce qu’un mois...d’inter-Co:

Formation:
+Design thinking
+Approche Agile (PO and scrum master)
+Blockchain
+Finance / Finance de marché
+Big data

Certification:
+Autorité des marchés financiers 

Si vous êtes ambitieux, JEMS saura répondre à vos attentes ;) !Dérouler";InconvénientsLe CE manque un peu de visibilité au sein du groupe.;4.3
1199;223;« Data au service du client »;Je travaille chez JEMS Group à temps plein depuis moins d'un an;"Avantages- Acteur très dynamique dans le domaine Big Data
- Missions enrichissantes pour tout parcours professionnel.
- Les formations.
- Management à l'écoute et bienveillant.";InconvénientsLa culture de l'entreprise est l'amélioration continue du service rendu.;4.3
1200;223;« Une véritable montée en compétence »;Je travaille chez JEMS Group à temps partiel depuis plus d'un an;"Avantages- Formations interne
- Evolution de carrière
- Accompagnement pour monter en compétences
- Richesse des missions
- Société à taille humaine";InconvénientsDe grandes responsabilités qui sont difficiles à concilier entre temps de travail et temps scolaire;4.3
1201;223;« Consultant Big Data »;Je travaille chez JEMS Group à temps plein;"Avantages- Une politique de formation  avantageuse 
- Management très accessible 
- Des projets internes innovants au smartlab (blockchain, machine learning)";InconvénientsLéger manque d'organisation pour les nouveaux entrants, il faut faire sa place;4.3
1202;223;« JEMS entre mensonges et hypocrisie »;Je travaille chez JEMS Group à temps plein depuis moins d'un an;AvantagesLe service des ressources humaines est sympathique et fait bien son travail. Les RH sont les seuls qui se soucient vraiment des consultants et pas juste de la rentabilité.;"InconvénientsLe mensonge est omniprésent chez les managers et les commerciaux et ce dès le début du processus de recrutement. 
Les commerciaux demandent aux consultants de s'inventer des missions ou des expériences pour coller aux attentes des clients. Ils font attendre un temps certain les consultants avant de leur proposer des missions pour qu'ils se sentent obliger d'accepter une offre qui ne correspond pas à leur plan de...carrière. 
Les commerciaux devienne les meilleurs amis du consultant quand ils pensent pouvoir le placer sur une de leurs missions mais dès que ça tourne au vinaigre silence radio de leur part, les consultants sont juste une opportunité de gagner un bonus sur leur salaire. 

En résumé : mensonge, demander aux autres de mentir, hypocrisieDérouler";4.3
1203;223;« J'ai été formé au BIG DATA »;J'ai travaillé chez JEMS Group à temps plein plus d'un an;AvantagesEntreprise très formatrice sur le BIG DATA et des challenges au quotidien. Si vous avez la pêche, vous serez servis. L’entreprise est en pleine croissance donc beaucoup d’opportunité et de challenge. J’ai du partir pour aller habiter en province.;InconvénientsIls sont en partenariat avec une dizaine d'éditeurs de logiciels : beaucoup de produits à maitriser mais ça se fait.;4.3
1204;223;« JEMS fait confiance »;J'ai travaillé chez JEMS Group à temps plein plus d'un an;AvantagesJ’ai travaillé chez JEMS 2 ans en tant que Chargé de Recrutement. Gros dynamisme et ambiance familiale/ start-up. J'ai du partir pour expé à l'étranger.;"InconvénientsLa croissance organique est forte; un peu de pression mais le salaire variable suit.";4.3
1205;223;« JEMS mise sur ses talents »;Je travaille chez JEMS Group à temps plein depuis plus de 3 ans;Avantagesla société gagne beaucoup de projets et fait monter en compétence ses consultants. on peut prendre des initiatives et des responsabilités. Dynamisme +++;Inconvénientsdifficultés de proximité liées à la croissance, mais ça reste très bien.;4.3
1206;223;« Peut mieux faire »;J'ai travaillé chez JEMS Group à temps plein plus d'un an;AvantagesAmbiance,  Experts IT, Big Data, Formation interne;InconvénientsPas de CE, beaucoup de filiales;4.3
1207;223;« Entreprise ouverte aux jeunes »;Je travaille chez JEMS Group à temps plein depuis moins d'un an;"Avantages- L'esprit de l'entreprise est dynamique.
- Le managment à l'écoute et bienveillant.
- Les formations.";"Inconvénients- Locaux qui laissent par endroit à désirer.
- Les commerciaux ne communiquent pas assez, ce qui peut laisser croire qu'ils nous ont oublié.";4.3
1208;223;« Belle ambiance »;J'ai travaillé chez JEMS Group à temps plein plus d'un an;"AvantagesResponsabilité, délégation et contrôle des résultats 
Disponibilité des dirigeants
Formation";"InconvénientsManque de process
Organisation parfois insuffisante
Travailler plus la communication interne
Plus de support en mission";4.3
1209;223;« Chef de projet »;Je travaille chez JEMS Group à temps partiel depuis plus de 5 ans;"AvantagesJe le plaisir de travailler chez jems group depuis 2010 ou je vis une experience professionnelle et personnelle enrichissante.
Le contenu des missions est interresant adapte a chaque profil, le managment est humain et accessible.
Le cabinet est a la pointe des nouvelles technologies ainsi j'ai recu plusieurs formations: 'Lean Six Sigma', 'Certification big data developer' et surtout  un seminaire personalisée,...particulièrement exceptionnel en design thinking !!!Dérouler";InconvénientsLa culture du cabinet est l'amélioration continue, le managment de jems travails sur les points d'ameliorations et recherche volontier ' les retours d'éxperiences';4.3
1210;223;« Travail plaisant, missions diversifiées »;Je travaille chez JEMS Group à temps plein depuis moins d'un an;"AvantagesTrès bonne ambiance de travail
Missions diversifiées 
Confiance et responsabilités";InconvénientsCertaines personnes travaillent dans l'urgence et à la dernière minute;4.3
1211;223;« Consultant Senior Java »;Je travaille chez JEMS Group à temps plein depuis plus d'un an;"Avantagessalaire motivante, communication ouverte avec les hiérarchies, formations sur les nouvelles technologies   suivi continu avec ton commercial(déjeuné tout les 2 mois max) et les Afterworks chaque 3 mois permet la communication avec tous les collègue de Jems et avec les responsable et aussi et les personnel de RH si vous aurez des questions a posé c l'occasion.
- salaire versé max le 28 de chaque mois.
-assurance...maladie 100%
- prime caque année.Dérouler";"Inconvénients- y a pas trop de convention avec  les lieux de loisir comme Disney land
-des convention avec les restaux  chez les client notamment la Société Genaral";4.3
1212;14;« Consultant »;Je travaille chez Capgemini à temps plein;Avantageschallenge intellectuel, montee en competences;InconvénientsLes joournees peuvent etre longues, l'integration n'est pas tres organisee;3.6
1213;14;« Bonne SSII pour commencer »;Je travaille chez Capgemini à temps plein depuis plus de 5 ans;"AvantagesTrès bonne SSII pour commencer sa carrière, on prend vite des responsabilités.
Les opportunités sont très larges (Entreprises, missions, localisations, ..etc)";"InconvénientsLien distant avec le management vu la taille de l'entreprise malgré la décomposition en entités.
Les perspectives d'évolution varient beaucoup entre les entités.
Difficile d'évoluer en terme de salaire, les enveloppes dédiées encouragent le turnover.
La politique interne encourage les salariés à performer en interne plutôt que sur les projets facturés, si tu fais les deux il faut oublier l'équilibre travail/vie...privée sinon tu stagnes.Dérouler";3.6
1214;14;« Bonne ESN »;Je travaille chez Capgemini à temps plein depuis plus d'un an;AvantagesAmbiance Start-up sur projets, sécurité d'une grosse multinationale en terme d'emplois / primes;InconvénientsLe cadre d'application de la valeur 'Honnêteté', On éssaie de vous faire prendre des engagements sans vous mettre au courant des difficultés sur projet ( Mauvaise relations clients, retard de livraison, CDC flou );3.6
1215;14;« Entreprise que je recommende »;Je travaille chez Capgemini à temps plein depuis plus d'un an;AvantagesCulture d'entreprise basée sur l'humain. Bonne école. Bon environnement pour monter en compétence et en grade . Bon équilibre vie professionnelle/privée;InconvénientsSalaire légèrement moins élevé que chez les autres leaders concurrents (pour un consultant SAP);3.6
1216;14;« Entreprise formatrice/ pas d'évolutions professionels »;J'ai travaillé chez Capgemini à temps plein plus de 3 ans;"Avantages- Formations
- Grand projets
- ticket restaurants";"Inconvénients- Evolution de carrière
- salaires";3.6
1217;14;« Avis factuel »;Je travaille chez Capgemini à temps plein depuis plus de 5 ans;AvantagesCommunautés de pratiques / Esprit innovant et jeune;InconvénientsTrès très et trop grande ESN;3.6
1218;14;« Bonne entreprise pour débuter sa carrière »;Je travaille chez Capgemini à temps plein depuis plus de 5 ans;"Avantages- Missions inintéressantes pour le compte de clients renommés
- Environnement de travail de qualité
- Bon équilibre vie privée / vie pro
- Equipes compétentes
- Très bonne société pour commencer sa carrière
- CE, Plan épargne entreprise, Intéressement, Participation, 13eme mois, Tickets restaurant";"Inconvénients- Evolution de salaire limitée
- Evolution de carrière compliquée
- Mobilité possible en fonction des missions";3.6
1219;14;« Bonne entreprise, bon souvenir ! »;J'ai travaillé chez Capgemini à temps plein moins d'un an;"AvantagesJ'ai beaucoup apprécié de travailler chez Capgemini. Je m'y sentais à l'aise, et j'ai trouvé que les collègues, chefs de projet, divers managers etc... étaient très attentifs au bien-être du salarié.
C'est pour l'instant la seule ESN au sein de laquelle j'aurai plaisir à y retourner.

Avantages : 
- Bonne mutuelle
- Certains projets intéressants
- Bonne ambiance
- Des salaires un peu plus intéressants que...dans les plus petites ESN
- Tickets restau
- Télétravail
- Bon équilibre vie pro/vie perso
- Politique de favoriser les projets au forfait (au sein de l'agence)Dérouler";"Inconvénients- Peu de projets R&D
- Salaire sur 13 mois
- Cela peut prendre du temps de changer de projet après l'avoir demandé
- Les missions ne correspondent pas toujours aux compétences/intérêts du salarié (comme dans à peu près toutes les ESN)";3.6
1220;14;« Formateur pour une alternance »;J'ai travaillé chez Capgemini à temps plein moins d'un an;AvantagesIl y a un tuteur dédié pour l'alternance et réaliser un suivi. Les missions sont variées et très formatrices;InconvénientsPeut être pas assez d'autonomie.;3.6
1221;14;« entreprise bonne »;Je travaille chez Capgemini à temps plein depuis moins d'un an;Avantagesbeaucoup d'avantaes, salaire education primes voyage;Inconvénientsevolution faible, management local n'est pas bon,;3.6
1222;14;« Avis »;Je travaille chez Capgemini à temps plein depuis plus de 3 ans;AvantagesMissions chez de grands comptes , Projets chez le client au sein d'équipes capgemini , Possibilités d’évolution surtout en début de carrière .;InconvénientsNégociation salariale assez dure , augmentations assez modestes , distance relationnelle avec l'entreprise;3.6
1223;14;« Avis mitigé même très mitigé »;Je travaille chez Capgemini à temps plein;AvantagesLes politiques du groupe et ses valeurs sont bien.;InconvénientsLes politiques et valeurs du groupe ne sont nullement appliquées;3.6
1224;14;« CDI consultant SAP »;Je travaille chez Capgemini à temps plein depuis plus d'un an;AvantagesFonctionnement en mode projet correcte.;Inconvénientsprocessus de positionnement sur projets, pas toujours transparent et ne corresponds pas forcement aux attentes du consultant.;3.6
1225;14;« Avis sur la societe »;Je travaille chez Capgemini à temps plein;Avantagesbeaucoup d'avantages comme le ticket restaurant, la mutuelle;Inconvénientsmission qui corresponde pas quelque fois au profil de carriere souhaité;3.6
1226;14;« Une très belle maison »;J'ai travaillé chez Capgemini à temps plein plus de 8 ans;"Avantages- De nombreux très beaux projets
- Une culture équilibrée entre le commerce et le delivery
- une gestion moderne des compétences et des carrieres";Inconvénients- une grille de rémunération trop limitative;3.6
1227;14;« Avis »;Je travaille chez Capgemini à temps plein depuis plus d'un an;"Avantages2000 DH de prime Aid Lakbire. 
Bon environnement.
Pause illimité.
Fléxibilité dans le temps de travail.";"InconvénientsPas de 13 mois pour les 0-3 ans d'expérience(Grade A).
Une évolution de salaire très réduite.
Pas de projet innovant.";3.6
1228;14;« Grande entreprise avec les avantages collectifs »;Je travaille chez Capgemini à temps plein depuis moins d'un an;Avantagesle CE est très bon;Inconvénientsl'admin est un peu lent;3.6
1229;14;« Ambiance de travail conviviale »;Je travaille chez Capgemini à temps plein depuis plus de 5 ans;AvantagesDes projets de grande envergure;InconvénientsStructure très lourde et évolution de carrière parfois lente;3.6
1230;14;« Ingenieur »;Je travaille chez Capgemini à temps plein;AvantagesGlobalement correct, grosse structure ce qui permet pas mal de choses en terme de formations par exemple  ...;Inconvénients... cependant c’est aussi ça faiblesse car, nous somme noyé dans ma masse salarial;3.6
1231;14;« Consultant Infrastructure »;Je travaille chez Capgemini à temps plein depuis moins d'un an;Avantagesticket restaurant, cinema, sport, bonne ambiance,;InconvénientsLe salaire est proche de la moyenne.;3.6
1232;227;« Un cadre dynamique avec une très bonne ambiance »;Je travaille chez Capgemini Invent à temps plein;"Avantages- Ambiance 
- Diversité des missions 
- Pas de sectorisation pour les juniors 
- Bonnes formations 
- Moments de convivialité";InconvénientsSelon les secteurs, beaucoup de déplacement mais cela fait partie du métier;4.0
1233;227;« 100 à l’heure »;Je travaille chez Capgemini Invent à temps plein depuis plus de 3 ans;AvantagesEnvironnement extrêmement stimulant avec des équipes très brillantes. Rôle de conseil en management avec un focus digital et data très opérationnel et concret - tres complet;InconvénientsDemande une certaine résilience - gros horaires - et une grande autonomie - processus et management pas très cadré;4.0
1234;227;« Bon tremplin »;Je travaille chez Capgemini Invent à temps plein depuis plus de 5 ans;AvantagesMobilité internationale, diversité des projets, culture;InconvénientsHoraires, niveau de rémunération en comparaison avec les petits cabinets;4.0
1235;227;« Une excellente école du conseil en tranfo digitale »;Je travaille chez Capgemini Invent à temps plein depuis moins d'un an;"AvantagesDes clients, secteurs et missions très variés
la possibilité de se former";InconvénientsCabinet de conseil de très grande taille mais des pôles de compétences à taille plus humaine;4.0
1236;227;« Pas mal »;Je travaille chez Capgemini Invent à temps plein;"AvantagesBonne ambiance
Bon accompagnement de carrière";"InconvénientsLocalisation (issy les moulineaux via l horrible rer c)
Locaux trop petits
Positionnement pas très clair sur le marché";4.0
1237;227;« Perte de temps »;J'ai travaillé chez Capgemini Invent à temps plein moins d'un an;"Avantages- Bon apprentissage de la réalité du travail en SSII
- Bon CE";"Inconvénients- Grave problème de staffing: des consultants sur le bench des mois durant sans perspective d’amélioration ni de possibilité de monter en compétence. Lorsqu’un besoin arrive, les managers se battent  pour placer les consultants de leur entité sans prendre en compte les compétences de ceux-ci.
La longueur du process de recrutement (6+ mois voir plus d’un an) devrait permettre une meilleure maîtrise de ces périodes...mais en vain : de nouvelles recrues arrivent chaque mois pour cirer le banc de touche...
- Des missions très tournées vers les DSI/l’IT, on reste dans une SSII
- Management pyramidal, alors que l’apprentissage se fait sur le tasDérouler";4.0
1238;227;« Innovation en externe et en interne »;Je travaille chez Capgemini Invent à temps partiel depuis moins d'un an;"AvantagesL'innovation au coeur de toutes les initiatives en externe (clients) et en interne (Digital Workplace)
Efforts sur le Work-Life Balance
Grande ouverture d'esprit et place pour l'impertinence constructive
Humanité, équipes 
7 très belles valeurs, traduites dans le quotidien";"InconvénientsOutils internes et process à améliorer (""les cordonniers les plus mal chaussés..."")";4.0
1239;227;« Bonne »;Je travaille chez Capgemini Invent à temps plein;"Avantagessalaire attractif + avantages
beau lieu de travail (147)
missions formatrices
agilité et positionnement marché
qualité des people
bons managers
recherche de valeur client et d'innovation";Inconvénientsoutils internes  sont souvent perfectibles;4.0
1240;227;« Capgemini Invent, société à la fois dynamique qui a pris le tournant du digital et humaine »;Je travaille chez Capgemini Invent à temps plein;"AvantagesLa qualité et la valeur de l'ensemble des personnes avec lesquelles j'ai eu l'occasion de travailler depuis 14 ans. 
L'ambition et le renouvellement permanent de cette société qui aujourd'hui apporte une réponse de bout en bout à nos clients.
Les valeurs de cette société qui se vivent au quotidien : l'honnêteté, l'audace, la confiance, la liberté, la solidarité, la simplicité et le plaisir. Capgemini Invent est...labellisée ""Great Place To Work"" et je confirme que c'est vrai !Dérouler";InconvénientsLe conseil reste un métier exigeant. Etant tributaire parfois des agendas clients il n'est pas toujours évident de pouvoir s'organiser.;4.0
1241;227;« Très bon »;Je travaille chez Capgemini Invent à temps plein depuis plus d'un an;AvantagesLiberté, humilité, bienveillance, effort sur la formation et la valorisation des consultants;InconvénientsPeu d'esprit de corps, rémunération un peu en dessous du marché;4.0
1242;227;« Un bon équilibre data science / conseil »;J'ai travaillé chez Capgemini Invent à temps plein;"AvantagesLes avantages sont :
- très bon niveau d'exigence en data science
- bon équilibre vie personnelle / travail
- possibilité d'être en contact avec le client
- équipe jeune
- formations en internes proposées";"Inconvénients- staffing peu clair
- de grosses periodes de creux dûes à un manque de projets";4.0
1243;227;« Jusqu’ici tout va bien dans cette entreprise »;Je travaille chez Capgemini Invent à temps plein depuis plus d'un an;AvantagesBonne ambiance de travail, bienveillance du management, solidarité entre collègues;InconvénientsSalaires à revaloriser pour attirer/retenir les talents;4.0
1244;227;« Excellent cabinet de conseil »;Je travaille chez Capgemini Invent à temps plein depuis plus d'un an;"AvantagesMissions à haute valeur ajoutée sur l'ensemble des secteurs
Base de connaissances importante
Positionnement d'excellence vis-à-vis des entreprise";"InconvénientsSiège désormais à Issy les moulineaux 
Intégration sur les courbes de maturité au bout d'un an pour les consultants expérimentés";4.0
1245;227;« stimulant et intéressant »;Je travaille chez Capgemini Invent à temps plein depuis plus de 5 ans;"Avantagesrémunération attractive, possibilité de travailler pour des grands groupes avec face-off de haut niveau
beaucoup de talents au sein de l'entreprise qui rendent le challenge intellectuel très stimulant";Inconvénientsmobilité géographique nécessaire au sein de l'île de france voire en province le temps des projets;4.0
1246;227;« Très bon employeur »;Je travaille chez Capgemini Invent à temps plein;AvantagesAttention à la progression des salariés,  projets intéressants;InconvénientsGrosse structure, difficile d'y percevoir son impact;4.0
1247;227;« C'est agréable de faire partie de Capgemini Invent »;Je travaille chez Capgemini Invent à temps plein depuis plus d'un an;AvantagesAmbiance, contenu du projet et clients, formations, entreprise qui évolue;InconvénientsBeaucoup d'heures de travail sur certains projets;4.0
1248;227;« Une bonne communication vers l'extérieur, un manque cinglant d'humanité à l'intérieur »;J'ai travaillé chez Capgemini Invent à temps plein plus d'un an;"Avantages""Bonne école"" pour se forger des réflexes de conseil
Quelques avantages financiers (notes de frais)
CE ok
Variété des missions et positionnement souvent stratégique
La promesse d'une progression rapide dans la hiérarchie";"Inconvénients""Mauvaise école"" car apprentissage dans la douleur et non dans la pédagogie
Mauvaise capitalisation sur les missions et les connaissances
Une part du management arriviste, dénué de bon sens et de compétences
Une progression hiérarchique basée que sur l'image rendue au management et pas sur les compétences
Une part de management incompétent et uniquement focalisée sur sa performance économique
Absence...d'indicateurs de performance humaine (rétention, satisfaction...)
Exploitation des consultants et pression malsaine
Des collaborateurs talentueux qui préfèrent souvent partir : perte des vraies compétences du cabinetDérouler";4.0
1249;227;« Conseil en digital »;Je travaille chez Capgemini Invent à temps plein depuis plus de 5 ans;"AvantagesVariété des missions
Bcp de missions en digital
Richesse de l'apprentissage et du parcours";InconvénientsLa rémunération est un peu basse;4.0
1250;227;« D'excellentes occasions »;Je travaille chez Capgemini Invent à temps plein depuis moins d'un an;AvantagesUne haute direction excellente et accessible. Un bon portefeuille avec des projets intéressants. Des équipes talentueuses. Beaucoup d'avantages.;InconvénientsOrganisation et articulation compliquées avec le groupe. Manque de temps de travail à des fin de recherche et de développement.;4.0
1251;227;« Bien »;J'ai travaillé chez Capgemini Invent à temps plein moins d'un an;AvantagesL'application me plaît et la France est le pays de mes rêves.;InconvénientsPas de défis professionnels.;4.0
1252;230;« Humains »;Je travaille chez Open à temps plein depuis plus de 3 ans;"AvantagesÀ l'écoute des collaborateurs. 
Tickets restaurant.";InconvénientsRémunération un peu en dessous de la moyenne.;3.5
1253;230;« Rien à dire en particulier »;Je travaille chez Open à temps plein depuis moins d'un an;"AvantagesAvantages comme dans toutes les ESN
9 RTT
C.E
50% sur la carte annuelle de transport
Mutuelle prise en charge à 50%
Prime de vacances
Chèques cadeaux
Prime à la co-optation";"InconvénientsBeaucoup d'activités pour les personnes au centre de service, beaucoup moins pour celles en mission
Pas beaucoup de  choix au niveau de mission";3.5
1254;230;« avis »;Je travaille chez Open à temps plein;Avantagessalaire très bon pour des débutants;Inconvénientsrien de spécial à dire.;3.5
1255;230;« Très dynamique »;Je travaille chez Open à temps plein depuis moins d'un an;AvantagesBonne dynamique, très bonne entente entre les différents directions. Vraie volonté de construire un centre efficace et agréable pour tous.;InconvénientsManquent quelques postes clés (à pourvoir);3.5
1256;230;« Bonnes conditions de travail »;J'ai travaillé chez Open à temps plein;AvantagesDe la diversité dans les projets et un cadre de travail agréable;"InconvénientsLe suivi personnalisé n'est pas toujours présent
Un manque de perspectives d'évolution";3.5
1257;230;« Peux mieux faire dans tous les domaines. »;J'ai travaillé chez Open à temps plein;AvantagesEntrée facile et rapide dans l'entreprise.;InconvénientsLe reste, notamment le management déplorable.;3.5
1258;230;« ESN avec des valeurs »;Je travaille chez Open à temps plein depuis plus de 3 ans;AvantagesSociété avec des valeurs qui a entrepris une refonte rh ou le collaborateur est au centre des préoccupations. Equipe de management humaine.;InconvénientsManque de communication et de visibilité.;3.5
1259;230;« A recommander »;Je travaille chez Open à temps plein depuis plus de 10 ans;"AvantagesPossibilités de missions et d'évolutions
Management à l'écoute
On le dit, on le fait";InconvénientsJ'y suis depuis plus de 10ans, si les inconvénients étaient rédhibitoires je serai ailleurs.;3.5
1260;230;« OPEN »;Je travaille chez Open à temps plein depuis plus de 3 ans;AvantagesESN moderne à l'écoute de ses collaborateur.;InconvénientsSuivi et accompagnement collaborateur encore perfectible.;3.5
1261;230;« Ca change des autres ESN »;Je travaille chez Open à temps plein depuis moins d'un an;"Avantagesbonne humeur et bonne ambiance
avec des RH à l'écoute ca change des autres ESN
Expert technique toujours prêt à aider;
Chef de projet à l’écoute ;
Equipe RH , présente et à l'écoute;
Entreprise tournée vers l'humain;";Inconvénientsl'accès à l'agence en transport en commun uniquement par BUS;3.5
1262;230;« Engagée »;Je travaille chez Open à temps plein depuis plus de 10 ans;;;3.5
1263;230;« A fuir »;Je travaille chez Open à temps plein;;;3.5
1264;230;« Une SSII qui se donne un genre »;J'ai travaillé chez Open à temps plein;;;3.5
1265;230;« Entreprise où il est agréable de travailler »;Je travaille chez Open à temps plein;;;3.5
1266;230;« A fuir !!! »;Je travaille chez Open à temps plein depuis moins d'un an;;;3.5
1267;230;« Vas-y »;Je travaille chez Open à temps plein depuis moins d'un an;;;3.5
1268;230;« Travailler chez OPEN »;Je travaille chez Open à temps plein depuis plus de 3 ans;;;3.5
1269;230;« Société avec des avantages mais pas généreuse »;J'ai travaillé chez Open à temps plein plus de 10 ans;;;3.5
1270;230;« Comme les autres »;Je travaille chez Open à temps plein;;;3.5
1271;230;« Super !! »;Je travaille chez Open à temps plein;;;3.5
1272;233;« La seconde pire expérience de ma vie professionnelle »;Je travaille chez Open Minds Open Hearts Day Care à temps plein depuis moins d'un an;AvantagesCarte Tickets Restaurant + Mutuelle;InconvénientsAucune considération du salarié dans l'ensemble de la hiérarchie.;2.0
1273;236;« harcèlement  moral innadmissible »;Je travaille chez OpenText à temps plein depuis moins d'un an;;;3.2
1274;236;« Opentext »;J'ai travaillé chez OpenText à temps plein plus de 3 ans;;;3.2
1275;236;« Les conditions dépendent de l’equpie »;Je travaille chez OpenText à temps plein;;;3.2
